"標準地域コード","都道府県","政令市･郡･支庁･振興局等","政令市･郡･支庁･振興局等（ふりがな）","市区町村","市区町村（ふりがな）","廃置分合等施行年月日","改正事由"
"01553","北海道","網走支庁","あばしりしちょう","常呂町","ところちょう","2006-03-05","北見市(01208)、端野町(01548)、留辺蘂町(01551)、常呂町(01553)が合併し、北見市を新設"
"01554","北海道","網走支庁","あばしりしちょう","生田原町","いくたはらちょう","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
"01555","北海道","網走支庁","あばしりしちょう","遠軽町","えんがるちょう","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
"01556","北海道","網走支庁","あばしりしちょう","丸瀬布町","まるせっぷちょう","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
"01557","北海道","網走支庁","あばしりしちょう","白滝村","しらたきむら","2005-10-01","生田原町(01554)、遠軽町(01555)、丸瀬布町(01556)、白滝村(01557)が合併し、遠軽町を新設"
"01558","北海道","網走支庁","あばしりしちょう","上湧別町","かみゆうべつちょう","2009-10-05","上湧別町(01558)、湧別町(01559)が合併し、湧別町を新設"
"01559","北海道","網走支庁","あばしりしちょう","湧別町","ゆうべつちょう","2009-10-05","上湧別町(01558)、湧別町(01559)が合併し、湧別町を新設"
"01564","北海道","網走支庁","あばしりしちょう","大空町","おおぞらちょう","2006-03-31","東藻琴村(01541)、女満別町(01542)が合併し、大空町(01564)を新設"
"01572","北海道","胆振支庁","いぶりしちょう","虻田町","あぶたちょう","2006-03-27","虻田町(01572)、洞爺村(01573)が合併し、洞爺湖町(01584)を新設"
"01573","北海道","胆振支庁","いぶりしちょう","洞爺村","とうやむら","2006-03-27","虻田町(01572)、洞爺村(01573)が合併し、洞爺湖町(01584)を新設"
"01574","北海道","胆振支庁","いぶりしちょう","大滝村","おおたきむら","2006-03-01","大滝村(01574)が伊達市(01233)に編入"
"01579","北海道","胆振支庁","いぶりしちょう","早来町","はやきたちょう","2006-03-27","早来町(01579)、追分町(01580)が合併し、安平町(01585)を新設"
"01580","北海道","胆振支庁","いぶりしちょう","追分町","おいわけちょう","2006-03-27","早来町(01579)、追分町(01580)が合併し、安平町(01585)を新設"
"01582","北海道","胆振支庁","いぶりしちょう","鵡川町","むかわちょう","2006-03-27","鵡川町(01582)、穂別町(01583)が合併し、むかわ町(01586)を新設"
